text,label
"The government announced new policies today to combat climate change.",0
"Aliens have landed in New York City and taken over Times Square!",1
"Scientists discovered a new species of fish in the Amazon river.",0
"A viral video claims that the moon is made of cheese!",1
"Local elections have concluded, with record voter turnout.",0
"Conspiracy theorists suggest that a secret society controls the weather.",1
"A new study shows that eating fruits daily improves mental health.",0
"Reports indicate that dinosaurs have been spotted in the wild!",1
"New technology is revolutionizing solar energy production.",0
"A fake celebrity death rumor spreads quickly on social media.",1
"Researchers have found a cure for a rare genetic disease.",0
"A video claims that the Earth is flat and supported by giant turtles.",1
"Vaccination rates have increased significantly this year.",0
"A mysterious time traveler warns of impending doom.",1
"Wildlife populations are recovering due to conservation efforts.",0
"A fake news article claims drinking water causes cancer.",1
"New educational reforms aim to improve literacy rates worldwide.",0
"UFO sightings have been reported in several countries this week.",1
"Space agencies are preparing for a manned mission to Mars.",0
"An online rumor suggests that pets can vote in elections.",1
"Breakthroughs in AI are transforming the healthcare industry.",0
"A false report claims that robots are replacing all jobs by 2025.",1
"Farmers are adopting sustainable practices to protect the environment.",0
"Social media hoaxes cause panic about a fake asteroid impact.",1
"Scientists developed a new method to recycle plastic waste.",0
"A viral hoax says chocolate is poisonous to humans.",1
"Local artists are gaining recognition for their innovative sculptures.",0
"An article falsely claims that gravity is a government conspiracy.",1
"New treatments are helping reduce symptoms of Alzheimer’s disease.",0
"Reports of a Loch Ness Monster sighting are spreading online.",1
"Electric vehicles are becoming more affordable and widespread.",0
"A viral post falsely states that smartphones emit lethal radiation.",1
"Climate activists are working to reduce global carbon emissions.",0
"A conspiracy theory suggests the sun is controlled by aliens.",1
"Scientific studies confirm the safety of renewable energy technologies.",0
"An article claims that eating only bananas cures all diseases.",1
"Education funding is increasing to support underprivileged communities.",0
"A rumor spreads that airplanes are just holograms.",1
"Advanced robotics are aiding in disaster recovery operations.",0
"A false claim suggests that watermelons can explode in the sun.",1
"Medical professionals are receiving awards for their COVID-19 efforts.",0
"An unverified source states that time machines exist.",1
"New advancements in cancer research show promising results.",0
"A fabricated story claims the moon is leaving Earth's orbit.",1
"Public parks are being revitalized to promote outdoor activities.",0
"False claims about a zombie apocalypse are circulating online.",1
"Research on renewable energy is progressing rapidly.",0
"A viral hoax says eating ice cream daily guarantees eternal youth.",1
"Efforts to clean the oceans are gaining international support.",0
"A fabricated story suggests aliens built the pyramids.",1
"Government initiatives are focusing on improving public transport.",0
"Reports falsely state that cats can speak human languages.",1
"Efficient farming techniques are reducing food shortages worldwide.",0
"A false article claims that coffee is illegal in some countries.",1
"Breakthroughs in genetic engineering are curing hereditary diseases.",0
"A rumor suggests that Mount Everest is actually an ancient spaceship.",1
"Volunteers are planting trees to combat deforestation.",0
"An article falsely claims that humans have superpowers.",1
"Technological advancements are making renewable energy cheaper.",0
"A conspiracy theory says the internet is controlled by a single person.",1
"Global cooperation is improving access to clean drinking water.",0
"A fabricated story suggests scientists cloned dinosaurs for zoos.",1
"Local initiatives are reducing plastic waste in communities.",0
"A viral post claims eating only bread extends your lifespan.",1
"Public health campaigns are raising awareness about mental health.",0
"Reports of teleportation devices are found to be false.",1
"Governments are investing in space exploration projects.",0
"A viral video falsely shows a two-headed shark in the ocean.",1
"New policies aim to reduce student loan debt significantly.",0
"A rumor claims that volcanoes are portals to other dimensions.",1
"Environmentalists are working to preserve endangered species.",0
"A false report suggests drinking soda increases IQ.",1
"Researchers are creating bio-degradable alternatives to plastic.",0
"A viral hoax says whales can fly during full moons.",1
"Advancements in medicine are extending average human lifespans.",0
"A rumor falsely claims that the North Pole is melting overnight.",1
"Community centers are offering free educational programs.",0
"An article claims that trees can talk to each other via Wi-Fi.",1
"Scientists confirm the discovery of a new planet in a distant galaxy.",0
"A false post states that humans can breathe underwater.",1
"Efforts to reduce air pollution are showing measurable results.",0
"A hoax says scientists invented invisibility cloaks.",1
"Historic landmarks are being restored to preserve cultural heritage.",0
"A fabricated article claims all water is disappearing from Earth.",1
"Investments in wind energy are growing globally.",0
"Reports falsely claim that cities are sinking into the ground.",1
"Artificial intelligence is helping detect early signs of diseases.",0
"A rumor spreads that the Statue of Liberty has been replaced.",1
"Local charities are providing food to homeless populations.",0
"A fake news report claims humans are migrating to Mars next year.",1
